date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:01	118/118	---MC-	200	added ('OK')	text/plain	date:Sat,%2022%20Oct%202022%2012:24:55%20GMT	http://wastedziyun.eu.org/robots.txt		(from )
20:25:12	38448/38448	---MC-	200	added ('OK')	text/html	date:Sat,%2022%20Oct%202022%2012:25:02%20GMT	http://wastedziyun.eu.org/	F:/WEBSITES/wastest/wastedziyun.eu.org/index.html	(from )
20:25:13	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2022%20Oct%202022%2012:25:08%20GMT	http://wastedziyun.eu.org/xmlrpc.php	F:/WEBSITES/wastest/wastedziyun.eu.org/xmlrpc.0.delayed	(from http://wastedziyun.eu.org/)
20:25:16	7046/7046	---MC-	200	added ('OK')	application/rss+xml	etag:%22d3bab2d5fb2ebd9ceb1d9b8c54300d1b%22	http://wastedziyun.eu.org/feed	F:/WEBSITES/wastest/wastedziyun.eu.org/feed	(from http://wastedziyun.eu.org/)
20:25:18	0/0	---M--	302	error ('Redirect')	text/html	date:Sun,%2029%20Mar%202015%2010:09:53%20GMT	http://wastedziyun.eu.org/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	F:/WEBSITES/wastest/wastedziyun.eu.org/wp-includes/css/dist/block-library/style.min.35b21.delayed	(from http://wastedziyun.eu.org/)
20:25:18	88932/88932	---M--	200	added ('OK')	text/css	etag:%222a3e2979dd5d81:0%22	http://ftp6549879.host126.sanfengyun.cn/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	F:/WEBSITES/wastest/ftp6549879.host126.sanfengyun.cn/wp-includes/css/dist/block-library/style.min5b21.css	(from http://wastedziyun.eu.org/)
20:25:20	0/0	---M--	302	error ('Redirect')	text/html	date:Sun,%2029%20Mar%202015%2010:09:53%20GMT	http://wastedziyun.eu.org/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=20201208	F:/WEBSITES/wastest/wastedziyun.eu.org/wp-content/themes/twentyfifteen/genericons/genericons3ce7.css	(from http://wastedziyun.eu.org/)
20:25:20	6191/6191	---MC-	200	added ('OK')	application/rss+xml	etag:%22d6b50022b8c277cc33d1253c45b2ba1b%22	http://wastedziyun.eu.org/comments/feed	F:/WEBSITES/wastest/wastedziyun.eu.org/comments/feed	(from http://wastedziyun.eu.org/)
20:25:20	27520/27520	---M--	200	added ('OK')	text/css	etag:%22b23ac6e29cd5d81:0%22	http://ftp6549879.host126.sanfengyun.cn/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=20201208	F:/WEBSITES/wastest/ftp6549879.host126.sanfengyun.cn/wp-content/themes/twentyfifteen/genericons/genericons3ce7.css	(from http://wastedziyun.eu.org/)
20:25:20	0/0	---M--	302	error ('Redirect')	text/html	date:Sun,%2029%20Mar%202015%2010:09:53%20GMT	http://wastedziyun.eu.org/wp-content/themes/twentyfifteen/style.css?ver=20201208	F:/WEBSITES/wastest/wastedziyun.eu.org/wp-content/themes/twentyfifteen/style3ce7.css	(from http://wastedziyun.eu.org/)
